,Name,Architecture,Size (#B),Score,RunTime,RAG_Window
9,mixtral-8x7B-RAG2kpage,Mixtral,56,0.8115942028985507,267.7738943333333,2048
1,llama-3-70B,LLama,70,0.7391304347826086,139.85715166666665,0
11,mixtral-8x7B-RAG4kpage,Mixtral,56,0.7391304347826086,199.37320566666665,4096
13,mixtral8x7B,Mixtral,56,0.7391304347826086,285.6648586666667,0
10,mixtral-8x7B-RAG2kparagraph,Mixtral,56,0.6956521739130435,273.142689,2048
12,mixtral-8x7B-RAG4kparagraph,Mixtral,56,0.6231884057971014,283.274161,4096
3,mistral-7B-RAG2kparagraph,Mistral,7,0.608695652173913,65.171371,2048
5,mistral-7B-RAG4kparagraph,Mistral,7,0.5362318840579711,68.062149,4096
2,mistral-7B-RAG2kpage,Mistral,7,0.5217391304347826,52.697528666666656,2048
4,mistral-7B-RAG4kpage,Mistral,7,0.5072463768115942,69.87284566666668,4096
6,mistral7B,Mistral,7,0.5072463768115942,45.246575,0
7,mistral7B-ft,Mistral,7,0.463768115942029,83.46388233333333,0
8,mistral7B-ft-RAG2kparagraph,Mistral,7,0.4492753623188406,64.74958133333334,2048
